countyFips,placeFips,area,year,cbBuildingPermit,sdoBuildingPermit,totalPopulation,householdPopulation,personsPerHousehold,totalHousingUnits,occupiedHousingUnits,vacantHousingUnits
029,17925,Crawford,2011,0,0,423,423,2.389830508,212,177,35
063,26765,Flagler,2010,0,0,561,561,2.085501859,328,269,59
009,79270,Two Buttes,2011,0,0,43,43,1.653846154,37,26,11
101,07795,Boone,2012,0,0,342,334,2.385714286,183,140,43
123,33310,Grover,2011,0,0,139,139,2.206349206,90,63,27
073,03235,Arriba,2010,0,0,193,193,2.031578947,129,95,34
097,71755,Snowmass Village,2010,0,0,"2,826","2,816",2.122079879,"2,355","1,327","1,028"
075,38590,Iliff,2012,0,0,263,263,2.504761905,128,105,23
009,81030,Vilas,2010,0,0,114,114,2.590909091,60,44,16
059,52075,Morrison,2010,0,0,428,282,2.073529412,141,136,5
063,81690,Vona,2014,0,0,106,106,2.163265306,61,49,12
061,22145,Eads,2010,0,0,609,595,2.08041958,352,286,66
109,51250,Moffat,2010,0,0,116,116,2.274509804,70,51,19
123,63045,Raymer,2010,0,0,96,96,2.594594595,55,37,18
113,54880,Norwood,2013,0,0,533,533,2.411764706,250,221,29
101,66895,Rye,2011,0,0,153,153,2.154929577,115,71,44
123,40185,Keenesburg,2011,1,0,"1,143","1,134",2.554054054,464,444,20
123,77290,Thornton (Part),2011,0,0,,,,0,,
075,58235,Peetz,2011,0,0,236,236,2.458333333,106,96,10
019,70360,Silver Plume,2011,0,0,169,169,2.011904762,145,84,61
009,79270,Two Buttes,2010,0,0,43,43,1.653846154,37,26,11
029,57300,Paonia,2011,0,0,"1,428","1,391",2.153250774,744,646,98
089,13460,Cheraw,2010,0,0,252,252,2.495049505,115,101,14
001,45530,Lochbuie (Part),2012,0,0,2,2,2,1,1,0
123,63045,Raymer,2012,0,0,98,98,2.578947368,55,38,17
083,48115,Mancos,2012,2,2,"1,335","1,262",2.311355311,611,546,65
043,15330,Coal Creek,2010,0,0,343,343,2.432624113,160,141,19
053,42330,Lake City,2014,0,0,368,368,2.12716763,448,173,275
105,12855,Center (Part),2011,0,0,216,216,2.482758621,96,87,9
043,85155,Williamsburg,2010,0,0,662,662,2.555984556,280,259,21
067,38535,Ignacio,2016,1,1,723,723,2.493103448,312,290,22
107,86475,Yampa,2011,0,0,423,423,2.445086705,214,173,41
123,54330,Northglenn (Part),2012,0,0,12,12,1.5,11,8,3
123,54330,Northglenn (Part),2014,0,0,13,13,1.444444444,11,9,2
123,27700,Fort Lupton,2012,1,2,"7,614","7,614",3.085089141,"2,554","2,468",86
117,51690,Montezuma,2010,0,0,65,65,2.6,55,25,30
039,40790,Kiowa,2010,0,0,723,688,2.457142857,322,280,42
123,45530,Lochbuie (Part),2012,29,0,"5,206","5,206",2.898663697,"1,895","1,796",99
089,48500,Manzanola,2010,0,0,434,434,2.662576687,198,163,35
051,48555,Marble,2011,0,0,131,131,2.425925926,105,54,51
029,17925,Crawford,2013,0,0,423,423,2.389830508,212,177,35
119,32650,Green Mtn. Falls (Part),2010,0,0,28,28,1.866666667,33,15,18
123,08675,Brighton (Part),2011,1,0,350,350,3.097345133,118,113,5
113,55870,Ophir,2015,0,0,191,191,2.690140845,74,71,3
123,54330,Northglenn (Part),2011,0,0,12,12,1.5,11,8,3
073,03235,Arriba,2011,0,0,192,192,2.021052632,129,95,34
101,07795,Boone,2011,1,0,342,334,2.385714286,183,140,43
123,54330,Northglenn (Part),2015,0,0,13,13,1.444444444,11,9,2
123,55045,Nunn,2011,0,0,421,421,2.505952381,197,168,29
043,64970,Rockvale,2010,0,0,487,487,2.410891089,227,202,25
001,45530,Lochbuie (Part),2011,0,0,2,2,2,1,1,0
059,08070,Bow Mar (Part),2012,0,0,281,281,3.054347826,98,92,6
099,34520,Hartman,2012,0,0,80,80,2.285714286,48,35,13
083,20770,Dolores,2010,0,1,936,927,2.150812065,501,431,70
999,45530,Lochbuie (Total),2012,29,0,"5,208","5,208",2.898163606,"1,896","1,797",99
123,08675,Brighton (Part),2012,1,0,354,354,3.07826087,118,115,3
063,81690,Vona,2012,0,0,107,107,2.183673469,61,49,12
043,27040,Florence,2010,0,0,"3,881","3,790",2.398734177,"1,749","1,580",169
119,18530,Cripple Creek,2012,1,1,"1,185","1,185",2.154545455,729,550,179
